hgnc_symbol	mim_morbid
ADIRF	NA
ADK	614300
ADM	NA
ADM2	NA
ADM5	NA
ADNP	615873
ADNP2	NA
ADO	NA
ADORA1	NA
ADORA2A	NA
ADORA2B	NA
ADORA3	NA
ADPGK	NA
ADPRH	NA
ADPRHL2	NA
ADPRM	NA
ADRA1A	NA
ADRA1B	NA
ADRA1D	NA
ADRA2A	NA
ADRA2B	607876
ADRA2C	NA
ADRB1	607276
ADRB2	601665
ADRB2	600807
ADRB3	601665
ADRM1	NA
ADSL	103050
ADSS	NA
ADSSL1	617030
ADTRP	NA
AEBP1	NA
AEBP2	NA
AEN	NA
AES	NA
AFAP1	NA
AFAP1L1	NA
AFAP1L2	NA
AFDN	NA
AFF1	NA
AFF4	616368
AFG3L1P	NA
AFG3L2	614487
AFG3L2	610246
AFM	NA
AFMID	NA
AFP	615970
AFP	615969
AFTPH	NA
AGAP1	NA
AGAP2	NA
AGAP3	NA
AGAP4	NA
AGAP5	NA
AGAP6	NA
AGBL1	615523
AGBL4	NA
AGBL5	617023
AGER	NA
AGFG1	NA
AGFG2	NA
AGGF1	NA
AGK	614691
AGK	212350
AGL	232400
AGMAT	NA
AGMO	NA
AGO1	NA
AGO2	NA
AGO3	NA
AGO4	NA
AGPAT1	NA
AGPAT2	608594
AGPAT3	NA
AGPAT4	NA
AGPAT5	NA
AGPS	600121
AGR2	NA
AGR3	NA
AGRN	NA
AGRP	601665
AGT	267430
AGT	145500
AGTPBP1	NA
AGTR1	267430
AGTR1	145500
AGTR2	NA
AGTRAP	NA
AGXT	259900
AGXT2	NA
AHCTF1	NA
AHCY	613752
AHCYL1	NA
AHCYL2	NA
AHDC1	615829
AHI1	608629
AHNAK	NA
AHNAK2	NA
AHR	NA
AHRR	NA
AHSA1	NA
AHSA2	NA
AHSG	NA
AHSP	NA
AICDA	605258
AIDA	NA
AIF1	NA
AIFM1	310490
AIFM1	300614
AIFM2	NA
AIFM3	NA
AIG1	NA
AIM1L	NA
AIM2	NA
AIMP1	260600
AIMP2	NA
AIP	600634
AIP	219090
AIP	102200
AIPL1	604393
AIPL1	268000
AIRE	240300
AJUBA	NA
AK1	612631
AK2	267500
AK3	NA
AK4	NA
AK5	NA
AK6	NA
AK7	NA
AK8	NA
AK9	NA
AKAP1	NA
AKAP10	115080
AKAP11	NA
AKAP12	NA
AKAP13	NA
AKAP14	NA
AKAP17A	NA
AKAP2	NA
AKAP3	NA
AKAP4	NA
AKAP5	NA
AKAP6	NA
AKAP7	NA
AKAP8	NA
AKAP8L	NA
AKAP9	611820
AKIP1	NA
AKIRIN1	NA
AKIRIN2	NA
AKNA	NA
AKNAD1	NA
AKR1A1	NA
AKR1B1	NA
AKR1B10	NA
AKR1B15	NA
AKR1C1	NA
AKR1C2	614279
AKR1C3	NA
AKR1C4	614279
AKR1D1	235555
AKR7A2	NA
AKR7A3	NA
AKT1	615109
AKT1	181500
AKT1	176920
AKT1	167000
AKT1	114500
AKT1	114480
AKT1S1	NA
AKT2	240900
AKT2	125853
AKT3	615937
AKTIP	NA
ALAD	612740
ALAS1	NA
ALAS2	NA
ALB	616000
ALB	615999
ALCAM	NA
ALDH16A1	NA
ALDH18A1	616603
ALDH18A1	616586
ALDH18A1	601162
ALDH18A1	219150
ALDH1A1	NA
ALDH1A2	NA
ALDH1A3	615113
ALDH1B1	NA
ALDH1L1	NA
ALDH1L2	NA
ALDH2	610251
ALDH3A1	NA
ALDH3A2	270200
ALDH3B1	NA
ALDH3B2	NA
ALDH4A1	239510
ALDH5A1	271980
ALDH6A1	614105
ALDH7A1	266100
ALDH8A1	NA
ALDH9A1	NA
ALDOA	611881
ALDOB	229600
ALDOC	NA
ALG1	608540
ALG10	613688
ALG10B	NA
ALG11	613661
ALG12	607143
ALG13	NA
ALG14	616227
ALG2	616228
