hgnc_symbol	mim_morbid
DPP6	616311
DPP6	612956
DPP7	NA
DPP8	NA
DPP9	NA
DPPA2	NA
DPPA3	NA
DPPA4	NA
DPPA5	NA
DPT	NA
DPY19L2P4	NA
DPY19L4	NA
DPY30	NA
DPYD	274270
DPYS	222748
DPYSL2	NA
DPYSL3	NA
DPYSL4	NA
DPYSL5	NA
DR1	NA
DRAM1	NA
DRAP1	NA
DRAXIN	NA
DRC1	615294
DRC7	NA
DRD1	NA
DRD2	159900
DRD3	190300
DRD3	181500
DRD4	601696
DRD4	143465
DRD5	606798
DRD5	143465
DRG1	NA
DRG2	NA
DRICH1	NA
DROSHA	NA
DRP2	NA
DSC1	NA
DSC2	610476
DSC3	NA
DSCAM	NA
DSCAML1	NA
DSCC1	NA
DSCR3	NA
DSCR4	NA
DSCR8	NA
DSCR9	NA
DSE	615539
DSEL	NA
DSG1	615508
DSG1	148700
DSG2	612877
DSG2	610193
DSG3	NA
DSG4	607903
DSN1	NA
DSP	615821
DSP	612908
DSP	609638
DSP	607655
DSP	607450
DSP	605676
DSPP	605594
DSPP	125500
DSPP	125490
DSPP	125420
DST	615425
DST	614653
DSTN	NA
DTD1	NA
DTD2	NA
DTHD1	NA
DTL	NA
DTNA	604169
DTNB	NA
DTNBP1	614076
DTNBP1	181500
DTWD1	NA
DTX1	NA
DTX2	NA
DTX3	NA
DTX3L	NA
DTX4	NA
DTYMK	NA
DUOX1	NA
DUOX2	607200
DUOXA1	NA
DUOXA2	274900
DUPD1	NA
DUS1L	NA
DUS2	NA
DUS3L	NA
DUS4L	NA
DUSP1	NA
DUSP10	NA
DUSP11	NA
DUSP12	NA
DUSP13	NA
DUSP14	NA
DUSP15	NA
DUSP16	NA
DUSP18	NA
DUSP19	NA
DUSP2	NA
DUSP21	NA
DUSP22	NA
DUSP23	NA
DUSP26	NA
DUSP3	NA
DUSP4	NA
DUSP5	NA
DUSP6	615269
DUSP7	NA
DUSP8	NA
DUSP9	NA
DUT	NA
DUX4	NA
DUX4L3	NA
DUX4L4	NA
DUXA	NA
DVL1	616331
DVL1	180700
DVL2	NA
DVL3	616894
DXO	NA
DYDC1	NA
DYDC2	NA
DYNC1H1	614563
DYNC1H1	614228
DYNC1H1	158600
DYNC1I1	NA
DYNC1I2	NA
DYNC1LI1	NA
DYNC1LI2	NA
DYNC2H1	NA
DYNC2LI1	617088
DYNLL1	NA
DYNLL2	NA
DYNLRB1	NA
DYNLRB2	NA
DYNLT1	NA
DYNLT3	NA
DYRK1A	614104
DYRK1B	615812
DYRK2	NA
DYRK3	NA
DYRK4	NA
DYSF	NA
DYX1C1	615482
DYX1C1	127700
DZANK1	NA
DZIP1	NA
DZIP1L	NA
DZIP3	NA
E2F1	NA
E2F2	NA
E2F3	NA
E2F4	NA
E2F5	NA
E2F6	NA
E2F7	NA
E2F8	NA
E4F1	NA
EAF1	NA
EAF2	NA
EAPP	NA
EARS2	NA
EBAG9	NA
EBF1	NA
EBF2	NA
EBF4	NA
EBI3	NA
EBLN1	NA
EBLN2	NA
EBNA1BP2	NA
EBP	302960
EBP	300960
EBPL	NA
ECD	NA
ECE1	613870
ECE1	145500
ECE2	NA
ECEL1	615065
ECH1	NA
ECHDC1	NA
ECHDC2	NA
ECHS1	616277
ECI1	NA
ECI2	NA
ECM1	247100
ECM2	NA
ECSCR	NA
ECSIT	NA
ECT2	NA
EDA	313500
EDA	305100
EDA2R	NA
EDAR	612630
EDAR	224900
EDAR	129490
EDARADD	614941
EDARADD	614940
EDARADD	224900
EDARADD	129490
EDC3	616460
EDC4	NA
EDDM3A	NA
EDDM3B	NA
EDEM1	NA
EDEM2	NA
EDEM3	NA
EDF1	NA
EDIL3	NA
EDN1	615706
EDN1	612798
EDN2	NA
EDN3	613712
EDN3	613265
EDN3	209880
EDNRA	616367
EDNRA	157300
EDNRB	600501
EDNRB	600155
EDNRB	277580
EDRF1	NA
EEA1	NA
EED	NA
EEF1A1	NA
EEF1A2	616409
EEF1A2	616393
EEF1AKMT1	NA
EEF1B2	NA
EEF1D	NA
EEF1DP3	NA
EEF1E1	NA
EEF1G	NA
EEF2	609306
EEF2K	NA
EEF2KMT	NA
EEFSEC	NA
EEPD1	NA
EFCAB1	NA
EFCAB11	NA
EFCAB12	NA
EFCAB14	NA
EFCAB3	NA
EFCAB6	NA
EFCAB7	NA
EFCC1	NA
EFEMP1	126600
EFEMP2	614437
EFHB	NA
EFHC1	607631
EFHC1	254770
EFHC2	NA
EFHD1	NA
EFHD2	NA
EFL1	NA
EFNA1	NA
EFNA2	NA
EFNA3	NA
EFNA4	NA
EFNA5	NA
EFNB1	304110
EFNB2	NA
EFNB3	NA
EFS	NA
EFTUD2	610536
EGF	611718
EGFL6	NA
EGFL7	NA
EGFL8	NA
EGFLAM	NA
EGFR	616069
EGFR	211980
EGLN1	609820
EGLN1	609070
EGLN2	NA
EGLN3	NA
EGR1	NA
EGR2	607678
EGR2	605253
EGR2	145900
EGR3	NA
EGR4	NA
EHBP1	611868
EHD1	NA
EHD2	NA
EHD3	NA
EHD4	NA
EHF	NA
EHHADH	615605
EHMT1	610253
EHMT2	NA
EI24	NA
EID1	NA
EID2	NA
EID3	NA
EIF1	NA
EIF1AD	NA
EIF1AX	NA
EIF1AY	NA
EIF1B	NA
EIF2A	NA
EIF2AK1	NA
EIF2AK2	NA
EIF2AK3	226980
EIF2AK4	234810
EIF2B1	603896
EIF2B2	603896
EIF2B3	603896
EIF2B4	NA
EIF2B5	603896
EIF2S1	NA
EIF2S2	NA
EIF2S3	NA
EIF3A	NA
EIF3B	NA
EIF3C	NA
EIF3CL	NA
EIF3D	NA
EIF3E	NA
EIF3F	NA
EIF3G	NA
EIF3H	NA
EIF3I	NA
EIF3J	NA
EIF3K	NA
EIF3L	NA
EIF3M	NA
EIF4A1	NA
EIF4A2	NA
EIF4A3	268305
EIF4B	NA
EIF4E	615091
EIF4E1B	NA
EIF4E2	NA
EIF4E3	NA
EIF4EBP1	NA
EIF4EBP2	NA
EIF4EBP3	NA
EIF4ENIF1	NA
EIF4G1	614251
EIF4G2	NA
EIF4G3	NA
EIF4H	NA
EIF5	NA
EIF5A	NA
EIF5A2	NA
EIF5AL1	NA
EIF5B	NA
EIF6	NA
ELAC2	615440
ELAC2	614731
ELANE	202700
ELANE	162800
ELAVL1	NA
ELAVL2	NA
ELAVL3	NA
ELAVL4	NA
ELF1	NA
ELF2	NA
ELF3	NA
ELF4	NA
ELF5	NA
ELFN1	NA
ELFN2	NA
ELK1	NA
ELK3	NA
ELK4	NA
ELL	NA
ELL2	NA
ELL3	NA
ELMO1	NA
ELMO2	606893
ELMO3	NA
ELMOD1	NA
ELMOD2	NA
ELMOD3	NA
ELMSAN1	NA
ELN	194050
ELN	185500
ELN	123700
ELOF1	NA
ELOVL1	NA
ELOVL2	NA
ELOVL3	NA
ELOVL4	NA
ELOVL5	615957
ELOVL6	NA
ELOVL7	NA
ELP2	NA
ELP3	NA
ELP4	617141
ELP4	106210
ELP5	NA
ELP6	NA
ELSPBP1	NA
EMB	NA
EMC1	616875
EMC2	NA
EMC4	NA
EMC6	NA
EMC7	NA
EMC8	NA
EMC9	NA
EMCN	NA
EMD	310300
EME1	NA
EME2	NA
EMG1	NA
EMG1	211180
EMID1	NA
EMILIN1	NA
EMILIN2	NA
EMILIN3	NA
EML1	600348
EML2	NA
EML4	NA
EMP1	NA
EMP2	615861
EMP3	NA
EMSY	NA
EMX1	NA
EMX2	269160
EN1	NA
EN2	NA
ENAH	NA
ENAM	204650
ENAM	104500
ENC1	NA
ENG	187300
ENGASE	NA
ENKD1	NA
ENKUR	NA
ENO1	NA
ENO2	NA
ENO3	612932
ENOPH1	NA
ENOX1	NA
ENOX2	NA
ENPEP	NA
ENPP1	615522
ENPP1	613312
ENPP1	601665
ENPP1	208000
ENPP1	125853
ENPP2	NA
ENPP3	NA
ENPP4	NA
ENPP5	NA
ENPP6	NA
ENPP7	NA
ENSA	NA
ENTHD1	NA
ENTPD1	615683
ENTPD2	NA
ENTPD3	NA
ENTPD4	NA
ENTPD5	NA
ENTPD6	NA
ENTPD8	NA
ENY2	NA
EOGT	615297
EOMES	NA
EP300	613684
EP300	180849
EP300	114500
EP400	NA
EP400NL	NA
EPAS1	611783
EPB41	611804
EPB41L1	NA
EPB41L2	NA
EPB41L3	NA
EPB41L4A	NA
EPB41L4B	NA
EPB41L5	NA
EPB42	612690
EPC1	NA
EPC2	NA
EPCAM	613244
EPCAM	613217
EPDR1	NA
EPHA1	NA
EPHA10	NA
EPHA2	116600
EPHA3	NA
EPHA4	NA
EPHA5	NA
EPHA6	NA
EPHA7	NA
EPHA8	NA
EPHB1	NA
EPHB2	603688
EPHB3	NA
EPHB4	NA
EPHB6	NA
EPHX1	607748
EPHX1	189800
EPHX2	143890
EPHX3	NA
EPM2A	254780
EPM2AIP1	NA
EPN1	NA
EPN2	NA
EPN3	NA
EPO	612623
EPOR	133100
EPPIN	NA
EPPIN-WFDC6	NA
EPPK1	NA
EPRS	NA
EPS15	NA
EPS15L1	NA
EPS8	615974
EPS8L1	NA
EPS8L2	NA
EPS8L3	NA
EPSTI1	NA
EPX	261500
EPYC	NA
ERAL1	NA
ERAP1	NA
ERBB2	613659
ERBB2	211980
ERBB2	137800
ERBB3	607598
ERBB4	615515
ERBIN	NA
ERC1	NA
ERC2	NA
ERCC1	610758
ERCC2	610756
ERCC2	601675
ERCC2	278730
ERCC3	616390
ERCC3	610651
ERCC4	615272
ERCC4	610965
ERCC4	278760
ERCC4	189960
ERCC5	616570
ERCC5	278780
ERCC6	616946
ERCC6	613761
ERCC6	600630
ERCC6	278800
ERCC6	214150
ERCC6	211980
ERCC6	133540
ERCC6L	NA
ERCC6L2	615715
ERCC8	614621
ERCC8	216400
EREG	NA
ERF	600775
ERFE	NA
ERG	NA
ERGIC2	NA
ERH	NA
ERI1	NA
ERI3	NA
ERICH2	NA
ERICH3	NA
ERICH5	NA
ERICH6	NA
ERICH6B	NA
ERLEC1	NA
ERLIN1	615681
ERLIN2	611225
ERMAP	111750
ERMAP	111620
ERMN	NA
ERN1	NA
ERN2	NA
ERO1A	NA
ERO1B	NA
ERP27	NA
ERP29	NA
ERRFI1	NA
ERV3-1	NA
ERVFRD-1	NA
ERVV-1	NA
ERVV-2	NA
ESAM	NA
ESCO1	NA
ESCO2	269000
ESCO2	268300
ESD	NA
ESF1	NA
ESM1	NA
ESPL1	NA
ESR1	NA
ESR2	NA
ESRP1	NA
ESRP2	NA
ESRRA	NA
ESRRB	NA
ESRRG	NA
ESX1	NA
ESYT1	NA
ESYT2	NA
ESYT3	NA
ETF1	NA
ETFA	231680
ETFB	231680
ETFDH	231680
ETHE1	602473
ETNK1	NA
ETNK2	NA
ETNPPL	NA
ETS1	NA
ETS2	NA
ETV1	NA
ETV2	NA
ETV3	NA
ETV4	NA
ETV5	NA
ETV6	616216
ETV7	NA
EVA1A	NA
EVA1B	NA
EVA1C	NA
EVC	225500
EVC	193530
EVC2	225500
EVC2	193530
EVI2A	NA
EVI2B	NA
EVI5	NA
EVI5L	NA
EVL	NA
EVPL	NA
EWSR1	612219
EXD1	NA
EXD2	NA
EXD3	NA
EXO1	NA
EXO5	NA
EXOC1	NA
EXOC2	NA
EXOC3	NA
EXOC3L1	NA
EXOC3L2	NA
EXOC3L4	NA
EXOC4	NA
EXOC5	NA
EXOC6	NA
EXOC6B	NA
EXOC7	NA
EXOC8	NA
EXOSC1	NA
EXOSC10	NA
EXOSC2	NA
EXOSC3	614678
EXOSC4	NA
EXOSC5	NA
EXOSC6	NA
EXOSC7	NA
EXOSC8	616081
EXOSC9	NA
EXPH5	NA
EXT1	215300
EXT1	133700
EXT2	NA
EXTL1	NA
EXTL2	NA
EXTL3	NA
EYA1	602588
EYA1	166780
EYA1	113650
EYA2	NA
EYA3	NA
EYA4	605362
EYA4	601316
EZH1	NA
EZH2	NA
EZR	NA
F10	227600
F11	612416
F11R	NA
F12	610618
F12	234000
F13A1	613225
F13A1	608446
F13A1	188050
F13B	613235
F2	614390
F2	613679
F2	601367
F2	188050
F2R	NA
F2RL1	NA
F2RL2	NA
F2RL3	NA
F3	NA
F5	614389
F5	601367
F5	600880
F5	227400
F5	188055
F7	608446
F7	227500
F8	306700
F8	134500
F8A1	NA
F8A2	NA
F8A3	NA
F9	306900
F9	300807
F9	122700
FA2H	612319
FAAH	606581
FAAH2	NA
FAAP100	NA
FAAP20	NA
FAAP24	NA
FABP1	NA
FABP12	NA
FABP2	NA
FABP3	NA
FABP4	NA
FABP5	NA
FABP6	NA
FABP7	NA
FABP9	NA
FADD	613759
FADS1	NA
FADS2	NA
FADS6	NA
FAF1	NA
FAF2	NA
FAH	276700
FAHD1	NA
FAIM	NA
FAIM2	NA
FAM102A	NA
FAM103A1	NA
FAM104A	NA
FAM104B	NA
FAM107A	NA
FAM109A	NA
FAM109B	NA
FAM110A	NA
FAM110B	NA
FAM110C	NA
FAM110D	NA
FAM111B	615704
FAM114A1	NA
FAM114A2	NA
FAM117B	NA
FAM118A	NA
FAM118B	NA
FAM120A	NA
FAM120B	NA
FAM120C	NA
FAM122A	NA
FAM122B	NA
FAM122C	NA
FAM124A	NA
FAM124B	NA
FAM126A	610532
FAM126B	NA
FAM127A	NA
FAM127B	NA
FAM127C	NA
FAM129A	NA
FAM129B	NA
FAM129C	NA
FAM131A	NA
FAM131B	NA
FAM131C	NA
FAM133A	NA
FAM133B	NA
FAM134A	NA
FAM134B	613115
FAM134B	201300
FAM134C	NA
FAM135B	NA
FAM136A	NA
FAM13A	NA
FAM13B	NA
FAM13C	NA
FAM149A	NA
FAM150A	NA
FAM150B	NA
FAM151A	NA
FAM151B	NA
FAM153A	NA
FAM153B	NA
FAM153C	NA
FAM155A	NA
FAM156A	NA
FAM156B	NA
FAM160A1	NA
FAM160A2	NA
FAM160B1	NA
FAM160B2	NA
FAM161A	606068
FAM161B	NA
FAM162B	NA
FAM163A	NA
FAM167A	NA
FAM167B	NA
FAM168A	NA
FAM168B	NA
FAM169B	NA
FAM170A	NA
FAM171A2	NA
FAM171B	NA
FAM173A	NA
FAM173B	NA
FAM174A	NA
FAM175A	NA
FAM175B	NA
FAM177B	NA
FAM178B	NA
FAM179B	NA
FAM180A	NA
FAM180B	NA
FAM181A	NA
FAM181B	NA
FAM184A	NA
FAM186A	NA
FAM187A	614679
FAM187B	NA
FAM188A	NA
FAM188B	NA
FAM189A1	NA
FAM189A2	NA
FAM189B	NA
FAM192A	NA
FAM193B	NA
FAM198A	NA
FAM198B	NA
FAM19A1	NA
FAM19A4	NA
FAM19A5	NA
FAM200A	NA
FAM204A	NA
FAM205A	NA
FAM206A	NA
FAM207A	NA
FAM208A	NA
FAM208B	NA
FAM20A	204690
FAM20B	NA
FAM20C	259775
FAM210A	NA
FAM212A	NA
FAM212B	NA
FAM213A	NA
FAM213B	NA
FAM214A	NA
FAM214B	NA
FAM216A	NA
FAM216B	NA
FAM217A	NA
FAM217B	NA
FAM218A	NA
FAM219A	NA
FAM21A	NA
FAM21C	NA
FAM220A	NA
FAM227B	NA
FAM228A	NA
FAM228B	NA
FAM231C	NA
FAM24A	NA
FAM25E	NA
FAM26E	NA
FAM26F	NA
FAM27E3	NA
FAM32A	NA
FAM35A	NA
FAM3A	NA
FAM3B	NA
FAM3C	NA
FAM3D	NA
FAM43A	NA
FAM43B	NA
FAM46A	NA
FAM46B	NA
FAM46C	NA
FAM46D	NA
FAM47A	NA
FAM47B	NA
FAM47C	NA
FAM47E	NA
FAM49B	NA
FAM50A	NA
FAM50B	NA
FAM53A	NA
FAM53C	NA
FAM57A	NA
FAM58A	300707
FAM60A	NA
FAM63A	NA
FAM64A	NA
FAM65B	NA
FAM65C	NA
FAM69A	NA
FAM69B	NA
FAM71B	NA
FAM71C	NA
FAM71D	NA
FAM71E2	NA
FAM71F1	NA
FAM72A	NA
FAM72B	NA
FAM72C	NA
FAM72D	NA
FAM74A1	NA
FAM74A4	NA
FAM76B	NA
FAM78A	NA
FAM81B	NA
FAM83A	NA
FAM83B	NA
FAM83C	NA
FAM83D	NA
FAM83E	NA
FAM83F	NA
FAM83H	130900
FAM84A	NA
FAM84B	NA
FAM86B3P	NA
FAM86C1	NA
FAM8A1	NA
FAM90A1	NA
FAM91A1	NA
FAM92B	NA
FAM96A	NA
FAM96B	NA
FAM98A	NA
FAM98B	NA
FAM9A	NA
FAM9B	NA
FAM9C	NA
FAN1	NA
FAN1	614817
FANCA	227650
FANCA	189960
FANCB	NA
FANCC	227645
FANCC	189960
FANCD2	227646
FANCD2	189960
FANCE	600901
FANCE	189960
FANCF	603467
FANCF	189960
FANCG	614082
FANCG	189960
FANCI	609053
FANCI	189960
FANCL	614083
FANCL	189960
FANCM	189960
FANK1	NA
FAP	NA
FAR1	616154
FAR2	NA
FARP1	NA
FARP2	NA
FARS2	617046
FARS2	614946
FARSA	NA
FARSB	NA
FAS	601859
FASLG	601859
FASLG	211980
FASN	NA
FASTK	NA
FASTKD1	NA
FASTKD2	220110
FASTKD3	NA
FASTKD5	NA
FAT1	NA
FAT2	NA
FAT3	NA
FAT4	616006
FAT4	615546
FATE1	NA
FAU	NA
FAXC	NA
FAXDC2	NA
FBF1	NA
FBL	NA
FBLIM1	NA
FBLN1	608180
FBLN2	NA
FBLN5	614434
FBLN5	608895
FBLN5	219100
FBLN7	NA
FBN1	616914
FBN1	614185
FBN1	608328
FBN1	604308
FBN1	184900
FBN1	154700
FBN1	129600
FBN1	102370
FBN2	616118
FBN2	121050
FBN3	NA
FBP1	229700
FBP2	NA
FBRS	NA
FBXL12	NA
FBXL13	NA
FBXL14	NA
FBXL15	NA
FBXL16	NA
FBXL17	NA
FBXL18	NA
FBXL19	NA
FBXL2	NA
FBXL20	NA
FBXL21	NA
FBXL22	NA
FBXL3	NA
FBXL4	615471
FBXL5	NA
FBXL6	NA
FBXL7	NA
FBXL8	NA
FBXO10	NA
FBXO11	NA
FBXO15	NA
FBXO17	NA
FBXO18	NA
FBXO2	NA
FBXO21	NA
FBXO22	NA
FBXO24	NA
FBXO25	NA
FBXO27	NA
FBXO28	NA
FBXO3	NA
FBXO30	NA
FBXO31	615979
FBXO31	NA
FBXO32	NA
FBXO33	NA
FBXO34	NA
FBXO36	NA
FBXO38	615575
FBXO4	NA
FBXO40	NA
FBXO41	NA
FBXO42	NA
FBXO43	NA
FBXO44	NA
FBXO45	NA
FBXO46	NA
FBXO47	NA
FBXO5	NA
FBXO6	NA
FBXO7	260300
FBXO8	NA
FBXO9	NA
FBXW10	NA
FBXW11	NA
FBXW12	NA
FBXW2	NA
FBXW4	NA
FBXW5	NA
FBXW7	NA
FBXW8	NA
FBXW9	NA
FCAMR	NA
FCAR	NA
FCER1A	NA
FCER1G	NA
FCER2	NA
FCF1	NA
FCGBP	NA
FCGR1A	NA
FCGR1B	NA
FCGR2A	611162
FCGR2A	188030
FCGR2A	152700
FCGR2B	611162
FCGR2B	152700
FCGR2C	NA
FCGR3A	615707
FCGR3B	NA
FCGRT	NA
FCHO1	NA
FCHO2	NA
FCHSD1	NA
FCHSD2	NA
FCMR	NA
FCN1	NA
FCN2	NA
FCN3	613860
FCRL1	NA
FCRL2	NA
FCRL3	NA
FCRL4	NA
FCRL5	NA
FCRL6	NA
FCRLA	NA
FDCSP	NA
FDFT1	NA
FDPS	616631
FDX1	NA
FDX2	NA
FDXACB1	NA
FDXR	NA
FECH	177000
FEM1A	NA
FEM1B	NA
FEM1C	NA
FEN1	NA
FER	NA
FER1L5	NA
FER1L6	NA
FERD3L	NA
FERMT2	NA
FERMT3	612840
FES	NA
FETUB	NA
FEZ1	NA
FEZ2	NA
FEZF2	NA
FFAR1	NA
FFAR2	NA
FFAR3	NA
FFAR4	607514
FGA	616004
FGA	202400
FGA	105200
FGB	616004
FGB	202400
FGD1	305400
FGD2	NA
FGD3	NA
FGD4	NA
FGD5	NA
FGF1	NA
FGF10	180920
FGF10	149730
FGF11	NA
FGF12	NA
FGF13	NA
FGF14	609307
FGF16	309630
FGF17	615270
FGF18	NA
FGF19	NA
FGF2	NA
FGF20	615721
FGF21	NA
FGF22	NA
FGF23	193100
FGF3	610706
FGF4	NA
FGF5	190330
FGF6	NA
FGF7	NA
FGF8	612702
FGF9	612961
FGFBP1	NA
FGFBP2	NA
FGFBP3	NA
FGFR1	NA
FGFR1OP	NA
FGFR1OP2	NA
FGFR2	614592
FGFR2	613659
FGFR2	609579
FGFR2	207410
FGFR2	149730
FGFR2	123790
FGFR2	123500
FGFR2	123150
FGFR2	101600
FGFR2	101400
FGFR2	101200
FGFR3	616482
FGFR3	612247
FGFR3	610474
FGFR3	603956
FGFR3	602849
FGFR3	273300
FGFR3	187601
FGFR3	187600
FGFR3	162900
FGFR3	149730
FGFR3	146000
FGFR3	114500
FGFR3	109800
FGFR3	100800
FGFR4	NA
FGFRL1	194190
FGG	616004
FGG	202400
FGGY	NA
FGL1	NA
FGL2	NA
FGR	NA
FH	606812
FHDC1	NA
FHIT	NA
FHL1	300718
FHL1	300717
FHL1	300696
FHL1	300695
FHL2	NA
FHL3	NA
FHL5	NA
FHOD1	NA
FHOD3	NA
FIBCD1	NA
FIBIN	NA
FIBP	617107
FICD	NA
FIG4	612691
FIG4	612577
FIG4	611228
FIG4	216340
FIGLA	612310
FIGNL1	NA
FILIP1	NA
FILIP1L	NA
FIP1L1	NA
FIS1	NA
FITM1	NA
FIZ1	NA
FJX1	NA
FKBP10	610968
FKBP10	259450
FKBP11	NA
FKBP14	614557
FKBP15	NA
FKBP1A	NA
FKBP1B	NA
FKBP1C	NA
FKBP2	NA
FKBP3	NA
FKBP4	NA
FKBP5	608516
FKBP6	NA
FKBP7	NA
FKBP8	NA
FKBP9	NA
FKBPL	NA
FKTN	613152
FKTN	611615
FKTN	611588
FKTN	253800
FKTN	236670
FLAD1	255100
FLCN	173600
FLCN	144700
FLCN	135150
FLCN	114500
FLG	605803
FLG	146700
FLG2	NA
FLI1	NA
FLII	NA
FLNA	NA
FLNB	272460
FLNB	150250
FLNB	112310
FLNB	108721
FLNB	108720
FLNC	617047
FLNC	614065
FLNC	609524
FLOT1	NA
FLOT2	NA
FLRT1	NA
FLRT2	NA
FLRT3	615271
FLT1	NA
FLT3	613065
FLT3LG	NA
FLT4	NA
FLVCR1	609033
FLYWCH1	NA
FLYWCH2	NA
FMN1	NA
FMN2	616193
FMNL1	NA
FMNL2	NA
FMNL3	NA
FMO1	NA
FMO2	NA
FMO3	602079
FMO4	NA
FMO5	NA
FMO6P	NA
FMOD	NA
FMR1	311360
FMR1	300624
FMR1	300623
FMR1NB	NA
FN1	614101
FN1	601894
FN3K	NA
FN3KRP	NA
FNBP1	NA
FNBP1L	NA
FNBP4	NA
FNDC1	NA
FNDC11	NA
FNDC3A	NA
FNDC3B	NA
FNDC4	NA
FNDC5	NA
FNDC7	NA
FNIP1	NA
FNIP2	NA
FNTA	NA
FNTB	NA
FOCAD	NA
FOLH1	NA
FOLH1B	NA
FOLR1	613068
FOLR2	NA
FOLR3	NA
FOPNL	NA
FOS	NA
FOSB	NA
FOSL1	NA
FOSL2	NA
FOXA1	NA
FOXA2	NA
FOXA3	NA
FOXB1	NA
FOXB2	NA
FOXC2	153400
FOXD3	607836
FOXD4L3	NA
FOXD4L4	NA
FOXD4L6	NA
FOXE3	610256
FOXE3	107250
FOXF1	265380
FOXF2	NA
FOXG1	613454
FOXH1	NA
FOXI1	600791
FOXI1	274600
FOXI3	NA
FOXJ1	NA
FOXJ2	NA
FOXJ3	NA
FOXK1	NA
FOXK2	NA
FOXL2	608996
FOXL2	110100
FOXL2NB	NA
FOXM1	NA
FOXN2	NA
FOXN3	NA
FOXO1	268220
FOXO3	NA
FOXO4	NA
FOXO6	NA
FOXP1	613670
FOXP2	602081
FOXP3	304790
FOXP3	222100
FOXP4	NA
FOXQ1	NA
FOXR1	NA
FOXR2	NA
FOXRED1	256000
FOXRED1	252010
FOXRED2	NA
FOXS1	NA
FPGS	NA
FPGT	NA
FPGT-TNNI3K	NA
FPR1	NA
FPR2	NA
FPR3	NA
FRA10AC1	NA
FRAS1	219000
FRAT1	NA
FRAT2	NA
FREM1	NA
FREM3	NA
FRG1	158900
FRG2C	NA
FRK	NA
FRMD1	NA
FRMD4A	616819
FRMD4B	NA
FRMD5	NA
FRMD6	NA
FRMD8	NA
FRMPD1	NA
FRMPD2	NA
FRMPD4	300983
FRMPD4	300830
FRRS1L	616981
FRS2	NA
FRS3	NA
FRY	NA
FRYL	NA
FRZB	165720
FSCB	NA
FSCN1	NA
FSD1	NA
FSD1L	NA
FSD2	NA
FSHB	229070
FSHR	608115
FSHR	276400
FSHR	233300
FSIP1	NA
FSIP2	NA
FST	NA
FSTL1	NA
FSTL3	NA
FTCD	229100
FTH1	615517
FTHL17	NA
FTL	615604
FTL	606159
FTL	600886
FTMT	NA
FTSJ1	309549
FTSJ3	NA
FUBP1	NA
FUBP3	NA
FUCA1	230000
FUCA2	NA
FUK	NA
FUNDC1	NA
FUNDC2	NA
FUOM	NA
FURIN	NA
FUS	614782
FUS	608030
FUT1	616754
FUT11	NA
FUT2	612542
FUT3	NA
FUT4	NA
FUT5	NA
FUT6	613852
FUT7	NA
FUT8	NA
FUT9	NA
FUZ	182940
FXN	229300
FXR1	NA
FXR2	NA
FXYD1	NA
FXYD2	154020
FXYD3	NA
FXYD4	NA
FXYD6	NA
FXYD7	NA
FYB	NA
FYCO1	610019
FYN	NA
FYTTD1	NA
FZD1	NA
FZD10	NA
FZD2	NA
FZD3	NA
FZD4	133780
FZD5	NA
FZD6	614157
FZD7	NA
FZD8	NA
FZD9	NA
FZR1	NA
G0S2	NA
G2E3	NA
G3BP1	NA
G3BP2	NA
G6PC	232200
G6PC2	NA
G6PC3	612541
G6PD	611162
G6PD	300908
G6PD	134700
GAA	232300
GAB1	NA
GAB2	NA
GAB3	NA
GAB4	NA
GABARAP	NA
GABARAPL1	NA
GABARAPL2	NA
GABBR1	NA
GABBR2	188890
GABPA	NA
GABPB1	NA
GABPB2	NA
GABRA1	615744
GABRA1	611136
GABRA2	103780
GABRA3	NA
GABRA4	NA
GABRA5	NA
GABRA6	NA
GABRB1	NA
GABRB2	NA
GABRB3	617113
GABRB3	612269
GABRD	613060
GABRE	NA
GABRG1	NA
GABRG2	611277
GABRG2	607681
GABRG3	NA
GABRP	NA
GABRQ	NA
GABRR1	NA
GABRR2	NA
GABRR3	NA
GAD1	603513
GAD2	NA
GADD45A	NA
GADD45B	NA
GADD45G	NA
GADD45GIP1	NA
GADL1	NA
GAGE1	NA
GAGE10	NA
GAGE12B	NA
GAGE12C	NA
GAGE12D	NA
GAGE12E	NA
GAGE12F	NA
GAGE12G	NA
GAGE12H	NA
GAGE12J	NA
GAGE13	NA
GAGE2A	NA
GAGE2E	NA
GAK	NA
GAL	616461
GAL3ST1	NA
GAL3ST2	NA
GAL3ST4	NA
GALC	NA
GALE	230350
GALK1	230200
GALK2	NA
GALM	NA
GALNS	253000
GALNT1	NA
GALNT10	NA
GALNT11	NA
GALNT12	608812
GALNT13	NA
GALNT14	NA
GALNT15	NA
GALNT16	NA
GALNT18	NA
GALNT2	NA
GALNT3	NA
GALNT4	NA
GALNT5	NA
GALNT6	NA
GALNT7	NA
GALNT8	NA
GALNT9	NA
GALNTL5	NA
GALNTL6	NA
GALP	NA
GALR1	NA
GALR2	NA
GALR3	NA
GALT	230400
GAMT	612736
GAN	256850
GANAB	NA
GANC	NA
GAP43	NA
GAPDH	NA
GAPDHS	NA
GAPT	NA
GAPVD1	NA
GAR1	NA
GAREM1	NA
GAREM2	NA
GARNL3	NA
GARS	601472
GARS	600794
GART	NA
GAS1	NA
GAS2	NA
GAS2L1	NA
GAS2L2	NA
